step,t,tau,E,Omega,w_inf,phi_prime,czeta_count,wall_s
18,0.17317972781822794,0.10800000000000003,0.017981233162452842,1.1508705188391972,2.216104646753417,1.6526740752555107,0,1.36667799949646
19,0.18313191545167284,0.11400000000000003,0.01918808479994913,1.2281027491093925,2.2855664417705706,1.6586979389074863,0,1.4562363624572754
20,0.19312044572081205,0.12000000000000004,0.020428515811120564,1.307484645522794,2.354787180894117,1.6647550448565358,0,1.5568499565124512
21,0.20314551459107316,0.12600000000000003,0.02170202703759947,1.3889841897575468,2.4237614565553707,1.6708448117101833,0,1.6563494205474854
22,0.21320731482922758,0.13200000000000003,0.02300812467225545,1.4725697165440088,2.4924846387435577,1.6769667063590725,0,1.7295265197753906
23,0.22330603625635972,0.13800000000000004,0.02434632025339524,1.5582099115430337,2.560952775443173,1.6831202378553578,0,1.82505202293396
24,0.23344186596901248,0.14400000000000004,0.025716130655254084,1.645873809305392,2.629162506750797,1.6893049521087928,0,1.887981653213501
25,0.24361498853273456,0.15000000000000005,0.02711707807528297,1.7355307912820503,2.69711099070007,1.6955204272870146,0,1.9521372318267822
26,0.2538255861516717,0.15600000000000006,0.028548690018651873,1.8271505838627369,2.764795839117512,1.7017662698228573,0,2.015451669692993
27,0.26407383881734425,0.16200000000000006,0.03001049928031979,1.920703256425995,2.8322150620808144,1.7080421109454258,0,2.094860792160034
28,0.2743599244393253,0.16800000000000007,0.03150204392496542,2.0161592193882636,2.899367019762168,1.7143476036635081,0,2.158217668533325
29,0.2846840189601653,0.17400000000000007,0.03302286726502536,2.1134892222427775,2.966250380618029,1.7206824201400073,0,2.222031354904175
30,0.2950462964565935,0.18000000000000008,0.03457251783704844,2.2126643515815423,3.0328640850385917,1.7270462494047,0,2.3013596534729004
31,0.3054469292287536,0.18600000000000008,0.03615054937654231,2.313656029095504,3.0992073136990888,1.7334387953600092,0,2.3651249408721924
32,0.3158860878789982,0.1920000000000001,0.03775652079146308,2.4164360095494555,3.1652794599646756,1.7398597750407652,0,2.444425344467163
33,0.32636394138156427,0.1980000000000001,0.03938999613447662,2.5209763787293,3.2310801057938963,1.746308917094349,0,2.5399553775787354
34,0.33688065714427756,0.2040000000000001,0.041050544574102676,2.627249551360147,3.2966090006650557,1.7527859604522147,0,2.6175286769866943
35,0.3474364010632842,0.2100000000000001,0.04273774036483816,2.7352282689943124,3.3618660431175265,1.7592906531677752,0,2.689866542816162
36,0.3580313375716783,0.2160000000000001,0.04445116281634379,2.844885597868853,3.4268512645576514,1.7658227513990186,0,2.762721538543701
37,0.3686656296827813,0.22200000000000011,0.046190396261768595,2.956194926732605,3.4915648150281795,1.7723820185171681,0,2.8381311893463135
38,0.37933943902873246,0.22800000000000012,0.04795503002527782,3.069129964643003,3.5560069506822267,1.778968224325191,0,2.900306463241577
39,0.3900529258949654,0.23400000000000012,0.04974465838884368,3.1836647387332357,3.620178022738712,1.7855811443721477,0,2.952979564666748
40,0.4008062492510727,0.24000000000000013,0.05155888055835204,3.2997735919504105,3.6840784677270335,1.7922205593512202,0,3.044729232788086
41,0.4115995667784979,0.24600000000000014,0.05339730062907365,3.4174311807656075,3.7477087988550757,1.7988862545708662,0,3.1122376918792725
42,0.4224330348954376,0.2520000000000001,0.05525952755054431,3.5366124728567825,3.8110695983572827,1.805578019489949,0,3.203237295150757
43,0.43330680877929073,0.2580000000000001,0.0571451750908952,3.657292744765578,3.8741615106989054,1.8122956473088583,0,3.270792245864868
44,0.444221042386949,0.2640000000000001,0.05905386180067171,3.779447579529167,3.93698523652921,1.8190389346097127,0,3.368039608001709
45,0.45517588847318646,0.27000000000000013,0.06098521097617639,3.903052864288318,3.999541527290721,1.8258076810395787,0,3.451137065887451
46,0.46617149860737533,0.27600000000000013,0.06293885062236984,4.028084787872888,4.061831180403969,1.832601689031474,0,3.508946180343628
47,0.4772080231887265,0.28200000000000014,0.06491441341536165,4.154519838366011,4.123855034957718,1.8394207635585333,0,3.598726272583008
48,0.48828561146023064,0.28800000000000014,0.06691153666452127,4.2823348006482185,4.185613967843924,1.8462647119173539,0,3.6744346618652344
