step,t,tau,w_inf,E,Z,P_in,epsilon,phi_prime
26,0.3927920842193936,0.15000000000000005,9.7975752754415,0.32989085604208823,21.12548398545595,-1.435888017014066,3.318383264611862e-05,2.7434751403474746
27,0.4092529350614785,0.15600000000000006,9.841145849576842,0.3330273573147331,21.326219596887302,-1.442698004462156,3.349914740721192e-05,2.7532375338666966
28,0.42577236026467863,0.16200000000000006,9.884562212081613,0.33616751894421204,21.527189474333817,-1.4494838888323152,3.381483015250132e-05,2.763016549997212
29,0.4423504595646619,0.16800000000000007,9.927825193296288,0.33931124439053273,21.728387439230584,-1.4562457999066254,3.413087117671977e-05,2.7728120641753375
30,0.4589873319497139,0.17400000000000007,9.970935619440313,0.3424584384891749,21.929807401042787,-1.4629838668230424,3.444726091287755e-05,2.7826239524778775
31,0.4756830756645812,0.18000000000000008,10.013894312603929,0.34560900743363754,22.131443356148772,-1.469698218074114,3.476398993050781e-05,2.7924520916229816
32,0.49243778821431905,0.18600000000000008,10.056702090740847,0.34876285875816315,22.33328938673437,-1.476388981505835,3.50810489339298e-05,2.8022963589708683
33,0.5092515663681443,0.1920000000000001,10.099359767661825,0.35191990132064044,22.535339659698675,-1.483056284316648,3.539842876053003e-05,2.8121566325244323
34,0.5261245061632909,0.1980000000000001,10.14186815302913,0.3550800452856824,22.73758842557106,-1.4897002530565706,3.571612037906118e-05,2.822032790929718
35,0.5430567029088692,0.2040000000000001,10.184228052351818,0.3582432021078823,22.940030017439543,-1.496321013626467,3.6034114887958706e-05,2.8319247134762784
36,0.5600482511897269,0.2100000000000001,10.226440266981843,0.3614092845152441,23.142658849890367,-1.5029186912774324,3.63524035136752e-05,2.8418322800974263
37,0.5770992448703115,0.2160000000000001,10.268505594110971,0.364578206492791,23.345469417958878,-1.5094934106103155,3.66709776090324e-05,2.851755371370348
38,0.5942097770985336,0.22200000000000011,10.310424826768477,0.367749883266345,23.548456296091544,-1.516045295575357,3.698982865159075e-05,2.861693868516134
39,0.6113799403096304,0.22800000000000012,10.352198753819591,0.3709242312864854,23.75161413711917,-1.5225744694719456,3.730894824203653e-05,2.8716476533996844
40,0.6286098262300285,0.23400000000000012,10.393828159964688,0.37410116821267736,23.954937671241215,-1.5290810549484952,3.762832810258639e-05,2.881616608529518
41,0.6458995258812056,0.24000000000000013,10.435313825739179,0.3772806128975751,24.15842170502116,-1.5355651740024265,3.794796007540934e-05,2.8916006170574753
42,0.6632491295835504,0.24600000000000014,10.476656527514162,0.38046248537149713,24.362061120392948,-1.5420269479802653,3.8267836121066004e-05,2.901599562778318
43,0.6806587269602203,0.2520000000000001,10.517857037497654,0.38364670682707297,24.56585087367835,-1.5484664975778426,3.858794831696516e-05,2.9116133301292564
